lop	tiet	12A	12B	12C	12D	12E	12G	12H	12K	12M	12N	10A	10B	10C	10D	10E	10G	10H	10K	10M	10N	11A	11B	11C	11D	11E	11G	11H	11K	11M	11N	11P	11Q	11T
2	1	SHL - GV1033	SHL - GV1048	SHL - GV1019	SHL - GV1005	SHL - GV1022	SHL - GV1012	SHL - GV1028	SHL - GV1029	SHL - GV1004	SHL - GV1052	SHL - GV1024	SHL - GV1034	SHL - GV1049	SHL - GV1013	SHL - GV1043	SHL - GV1002	SHL - GV1020	SHL - GV1021	SHL - GV1008	SHL - GV1058	SHL - GV1040	SHL - GV1030	SHL - GV1038	SHL - GV1061	SHL - GV1015	SHL - GV1047	SHL - GV1017	SHL - GV1016	SHL - GV1009	SHL - GV1031	SHL - GV1035	SHL - GV1053	SHL - GV1006	
2	2	Sinh - GV1048	Van - GV1011	Toan - GV1001	Ly - GV1035	Van - GV1018	Ly - GV1033	Su - GV1052	Dia - GV1056	Sinh - GV1047	Dia - GV1057	Su - GV1053	Dia - GV1058	Sinh - GV1049	Van - GV1013	Hoa - GV1043	AVNN - GVNN03	Anh - GV1024	Anh - GV1030	Toan - GV1008	QP - GV1067	Hoa - GV1040	Toan - GV1004	Ly - GV1038	Toan - GV1002	GDCD - GV1061	Toan - GV1006	Van - GV1017	Ly - GV1034	Toan - GV1009	Van - GV1021	Hoa - GV1044	Toan - GV1007	Anh - GV1025	
2	3	Van - GV1018	QP - GV1066	Anh - GV1025	Toan - GV1005	Toan - GV1007	Toan - GV1003	Anh - GV1028	Anh - GV1029	Toan - GV1004	Toan - GV1001	GDCD - GV1061	Anh - GV1031	Anh - GV1022	Dia - GV1058	Van - GV1012	TD - GV1062	Dia - GV1057	Anh - GV1030	Van - GV1011	Van - GV1019	Toan - GV1008	AVNN - GVNN03	Van - GV1017	Toan - GV1002	Toan - GV1010	Van - GV1021	TD - GV1065	TD - GV1063	Van - GV1020	Dia - GV1056	Ly - GV1035	Van - GV1013	Toan - GV1006	
2	4	Van - GV1018	QP - GV1066	Anh - GV1025	Toan - GV1005	Toan - GV1007	Toan - GV1003	Anh - GV1028	Anh - GV1029	Toan - GV1004	Toan - GV1001	Ly - GV1036	Anh - GV1031	Anh - GV1022	QP - GV1067	Van - GV1012	TD - GV1062	Dia - GV1057	Sinh - GV1049	Van - GV1011	Van - GV1019	Toan - GV1008	AVNN - GVNN03	Van - GV1017	Sinh - GV1047	Toan - GV1010	Van - GV1021	TD - GV1065	TD - GV1063	Van - GV1020	Tin - GV1070	Toan - GV1009	Van - GV1013	Toan - GV1006	
2	5	Toan - GV1004	Anh - GV1029	Van - GV1019	Sinh - GV1047	Ly - GV1032	Hoa - GV1042	Ly - GV1035	Toan - GV1003	Van - GV1011	Van - GV1012	Dia - GV1057	Toan - GV1008	AVNN - GVNN03	Toan - GV1009	Toan - GV1001	Ly - GV1036	QP - GV1067	Van - GV1021	Sinh - GV1049	Dia - GV1058	Van - GV1013	Anh - GV1030	Toan - GV1005	Van - GV1020	Tin - GV1070	Anh - GV1025	Toan - GV1010	Toan - GV1007	Dia - GV1056	QP - GV1066	Van - GV1018	Anh - GV1027	Ly - GV1077	
3	1	Ly - GV1033	Hoa - GV1043	Hoa - GV1042	Tin - GV1068	Tin - GV1071	Van - GV1012	Sinh - GV1045	Anh - GV1029	QP - GV1067	Anh - GV1023	Sinh - GV1046	Anh - GV1031	Anh - GV1022	Tin - GV1069	TD - GV1062	Hoa - GV1044	AVNN - GVNN01	TD - GV1064	Van - GV1011	Sinh - GV1049	Anh - GV1028	Van - GV1018	Anh - GV1026	CN - GV1073	Van - GV1015	TD - GV1065	Van - GV1017	Van - GV1016	Van - GV1020	TD - GV1063	QP - GV1066	Van - GV1013	Anh - GV1025	
3	2	Ly - GV1033	Ly - GV1038	Ly - GV1037	Tin - GV1068	Tin - GV1071	Van - GV1012	Sinh - GV1045	Hoa - GV1042	Anh - GV1022	Anh - GV1023	Anh - GV1024	Hoa - GV1041	Hoa - GV1043	AVNN - GVNN01	TD - GV1062	Sinh - GV1049	CN - GV1046	TD - GV1064	Hoa - GV1044	Anh - GV1030	Anh - GV1028	Van - GV1018	Anh - GV1026	AVNN - GVNN02	Van - GV1015	TD - GV1065	Van - GV1017	Van - GV1016	Van - GV1020	TD - GV1063	CN - GV1073	Van - GV1013	Anh - GV1025	
3	3	Hoa - GV1039	Tin - GV1068	CN - GV1037	Anh - GV1028	QP - GV1067	Anh - GV1025	Van - GV1019	Van - GV1015	Anh - GV1022	Sinh - GV1045	Anh - GV1024	Hoa - GV1041	TD - GV1062	Anh - GV1023	Tin - GV1069	Van - GV1011	Van - GV1020	Anh - GV1030	TD - GV1064	Tin - GV1071	Van - GV1013	QP - GV1066	Van - GV1017	Anh - GV1027	TD - GV1065	Van - GV1021	Ly - GV1038	AVNN - GVNN03	TD - GV1063	Anh - GV1031	Van - GV1018	AVNN - GVNN01	Van - GV1016	
3	4	QP - GV1066	Tin - GV1068	Sinh - GV1045	Anh - GV1028	Anh - GV1022	Anh - GV1025	Van - GV1019	Van - GV1015	Tin - GV1071	CN - GV1037	Hoa - GV1039	Tin - GV1069	TD - GV1062	Anh - GV1023	Anh - GV1029	Van - GV1011	Van - GV1020	QP - GV1067	TD - GV1064	CN - GV1046	Van - GV1013	CN - GV1073	Van - GV1017	Anh - GV1027	TD - GV1065	Van - GV1021	AVNN - GVNN02	Hoa - GV1044	TD - GV1063	Anh - GV1031	Van - GV1018	Sinh - GV1048	Van - GV1016	
3	5	Van - GV1018	 - 	Anh - GV1025	Hoa - GV1039	Anh - GV1022	QP - GV1067	Anh - GV1028	Sinh - GV1048	Ly - GV1038	Ly - GV1037	Van - GV1076	AVNN - GVNN02	Van - GV1017	Sinh - GV1046	Anh - GV1029	Anh - GV1027	Ly - GV1032	Tin - GV1071	Anh - GV1026	AVNN - GVNN01	Sinh - GV1045	Sinh - GV1047	CN - GV1073	Ly - GV1035	Hoa - GV1044	QP - GV1066	Anh - GV1031	Anh - GV1030	Anh - GV1024	Van - GV1021	AVNN - GVNN03	Ly - GV1077	Hoa - GV1041	
4	1	Anh - GV1023	Anh - GV1029	GDCD - GV1059	Toan - GV1005	Dia - GV1057	Toan - GV1003	Ly - GV1035	Su - GV1051	Toan - GV1004	Tin - GV1071	Tin - GV1069	Ly - GV1034	QP - GV1067	TD - GV1062	Toan - GV1001	Anh - GV1027	Anh - GV1024	CN - GV1046	Anh - GV1026	TD - GV1064	Toan - GV1008	Anh - GV1030	TD - GV1065	Toan - GV1002	Ly - GV1037	GDCD - GV1060	Toan - GV1010	Toan - GV1007	Toan - GV1009	Toan - GV1006	Sinh - GV1045	TD - GV1063	QP - GV1066	
4	2	QP - GV1066	Anh - GV1029	Su - GV1051	Toan - GV1005	Sinh - GV1045	Toan - GV1003	GDCD - GV1059	Ly - GV1032	Toan - GV1004	Tin - GV1071	Tin - GV1069	CN - GV1046	Dia - GV1057	TD - GV1062	Toan - GV1001	Anh - GV1027	Anh - GV1024	Ly - GV1034	Anh - GV1026	TD - GV1064	Toan - GV1008	Anh - GV1030	TD - GV1065	Toan - GV1002	AVNN - GVNN03	AVNN - GVNN01	Toan - GV1010	Toan - GV1007	Toan - GV1009	Toan - GV1006	Ly - GV1035	TD - GV1063	CN - GV1073	
4	3	Sinh - GV1048	Su - GV1051	Ly - GV1037	TD - GV1064	GDCD - GV1059	CN - GV1033	QP - GV1067	GDCD - GV1060	Dia - GV1056	Toan - GV1001	Dia - GV1057	Toan - GV1008	Toan - GV1003	Toan - GV1009	Ly - GV1032	CN - GV1046	Toan - GV1010	Toan - GV1002	Dia - GV1058	Tin - GV1071	AVNN - GVNN02	Toan - GV1004	Toan - GV1005	TD - GV1065	Anh - GV1026	Toan - GV1006	Anh - GV1031	Anh - GV1030	AVNN - GVNN01	Ly - GV1034	TD - GV1063	Toan - GV1007	Sinh - GV1045	
4	4	CN - GV1033	Sinh - GV1048	QP - GV1066	TD - GV1064	Su - GV1052	Sinh - GV1047	CN - GV1035	Tin - GV1071	GDCD - GV1059	Toan - GV1001	Anh - GV1024	Toan - GV1008	Toan - GV1003	Toan - GV1009	QP - GV1067	Su - GV1051	Toan - GV1010	Toan - GV1002	AVNN - GVNN03	GDCD - GV1061	CN - GV1073	Toan - GV1004	Toan - GV1005	TD - GV1065	Anh - GV1026	Toan - GV1006	Anh - GV1031	Anh - GV1030	Ly - GV1037	GDCD - GV1060	TD - GV1063	Toan - GV1007	Tin - GV1068	
