lop	tiet	12A	12B	12C	12D	12E	12G	12H	12K	12M	12N	10A	10B	10C	10D	10E	10G	10H	10K	10M	10N	11A	11B	11C	11D	11E	11G	11H	11K	11M	11N	11P	11Q	11T
2	1	SHL - GV1033	SHL - GV1048	SHL - GV1019	SHL - GV1005	SHL - GV1022	SHL - GV1012	SHL - GV1028	SHL - GV1029	SHL - GV1004	SHL - GV1052	SHL - GV1024	SHL - GV1034	SHL - GV1049	SHL - GV1013	SHL - GV1043	SHL - GV1002	SHL - GV1020	SHL - GV1021	SHL - GV1008	SHL - GV1058	SHL - GV1040	SHL - GV1030	SHL - GV1038	SHL - GV1061	SHL - GV1015	SHL - GV1047	SHL - GV1017	SHL - GV1016	SHL - GV1009	SHL - GV1031	SHL - GV1035	SHL - GV1053	SHL - GV1006	
2	2	Sinh - GV1048	Ly - GV1038	QP - GV1066	Ly - GV1035	GDCD - GV1059	Su - GV1052	Hoa - GV1043	Tin - GV1071	Sinh - GV1047	Ly - GV1037	Su - GV1053	Dia - GV1058	Sinh - GV1049	AVNN - GVNN01	Toan - GV1001	Van - GV1011	Van - GV1020	Anh - GV1030	Anh - GV1026	QP - GV1067	AVNN - GVNN02	Dia - GV1056	Hoa - GV1040	Toan - GV1002	GDCD - GV1061	Toan - GV1006	Van - GV1017	Van - GV1016	Anh - GV1024	Ly - GV1034	Hoa - GV1044	Toan - GV1007	Anh - GV1025	
2	3	Anh - GV1023	QP - GV1066	Anh - GV1025	Toan - GV1005	Toan - GV1007	Tin - GV1071	Anh - GV1028	Anh - GV1029	Toan - GV1004	Toan - GV1001	Toan - GV1003	Anh - GV1031	Anh - GV1022	AVNN - GVNN01	Van - GV1012	TD - GV1062	TD - GV1064	Anh - GV1030	Van - GV1011	Van - GV1019	Toan - GV1008	Ly - GV1037	Van - GV1017	Toan - GV1002	Toan - GV1010	Van - GV1021	TD - GV1065	TD - GV1063	Van - GV1020	AVNN - GVNN02	Toan - GV1009	Van - GV1013	Toan - GV1006	
2	4	Anh - GV1023	QP - GV1066	Anh - GV1025	Toan - GV1005	Toan - GV1007	Tin - GV1071	Anh - GV1028	Anh - GV1029	Toan - GV1004	Toan - GV1001	Toan - GV1003	Anh - GV1031	Anh - GV1022	GDCD - GV1059	Van - GV1012	TD - GV1062	TD - GV1064	QP - GV1067	Van - GV1011	Van - GV1019	Toan - GV1008	AVNN - GVNN03	Van - GV1017	Ly - GV1035	Toan - GV1010	Van - GV1021	TD - GV1065	TD - GV1063	Van - GV1020	AVNN - GVNN02	Anh - GV1026	Van - GV1013	Toan - GV1006	
2	5	Toan - GV1004	Anh - GV1029	Toan - GV1001	Sinh - GV1047	Hoa - GV1040	Van - GV1012	Ly - GV1035	Toan - GV1003	Van - GV1011	CN - GV1037	Ly - GV1036	Van - GV1016	Van - GV1017	Hoa - GV1039	AVNN - GVNN02	Hoa - GV1044	QP - GV1067	Van - GV1021	Toan - GV1008	Tin - GV1071	Van - GV1013	Anh - GV1030	Toan - GV1005	Tin - GV1070	Anh - GV1026	Anh - GV1025	Toan - GV1010	Toan - GV1007	Toan - GV1009	Toan - GV1006	AVNN - GVNN03	Anh - GV1027	Hoa - GV1041	
3	1	Ly - GV1033	Hoa - GV1043	Hoa - GV1042	Tin - GV1068	Tin - GV1071	Van - GV1012	Sinh - GV1045	Anh - GV1029	QP - GV1067	Anh - GV1023	Van - GV1076	CN - GV1046	Anh - GV1022	Tin - GV1069	TD - GV1062	AVNN - GVNN03	AVNN - GVNN01	TD - GV1064	Van - GV1011	Hoa - GV1039	Anh - GV1028	Van - GV1018	Anh - GV1026	Hoa - GV1041	Van - GV1015	TD - GV1065	Van - GV1017	Van - GV1016	Van - GV1020	TD - GV1063	QP - GV1066	Van - GV1013	Anh - GV1025	
3	2	Ly - GV1033	Van - GV1011	Ly - GV1037	Tin - GV1068	Tin - GV1071	Van - GV1012	Sinh - GV1045	Hoa - GV1042	Anh - GV1022	Anh - GV1023	Anh - GV1024	Hoa - GV1041	Hoa - GV1043	CN - GV1046	TD - GV1062	AVNN - GVNN03	AVNN - GVNN01	TD - GV1064	QP - GV1067	Anh - GV1030	Anh - GV1028	Van - GV1018	Anh - GV1026	AVNN - GVNN02	Van - GV1015	TD - GV1065	Van - GV1017	Van - GV1016	Van - GV1020	TD - GV1063	CN - GV1073	Van - GV1013	Anh - GV1025	
3	3	Hoa - GV1039	Tin - GV1068	CN - GV1037	Anh - GV1028	QP - GV1067	Anh - GV1025	Van - GV1019	Van - GV1015	Anh - GV1022	Hoa - GV1043	Anh - GV1024	Hoa - GV1041	TD - GV1062	Anh - GV1023	Tin - GV1069	Van - GV1011	Van - GV1020	Ly - GV1034	TD - GV1064	Tin - GV1071	Van - GV1013	QP - GV1066	Van - GV1017	Anh - GV1027	TD - GV1065	Hoa - GV1042	Ly - GV1038	AVNN - GVNN03	TD - GV1063	Anh - GV1031	Van - GV1018	CN - GV1073	Van - GV1016	
3	4	QP - GV1066	Tin - GV1068	Sinh - GV1045	Anh - GV1028	Anh - GV1022	Anh - GV1025	Van - GV1019	Van - GV1015	Tin - GV1071	Van - GV1012	Hoa - GV1039	Tin - GV1069	TD - GV1062	Anh - GV1023	Anh - GV1029	Van - GV1011	Van - GV1020	Hoa - GV1041	TD - GV1064	CN - GV1046	Van - GV1013	Hoa - GV1042	Van - GV1017	Anh - GV1027	TD - GV1065	Ly - GV1035	AVNN - GVNN02	Hoa - GV1044	TD - GV1063	Anh - GV1031	Van - GV1018	AVNN - GVNN01	Van - GV1016	
3	5	Van - GV1018	 - 	Anh - GV1025	Hoa - GV1039	Anh - GV1022	QP - GV1067	Anh - GV1028	Sinh - GV1048	Ly - GV1038	Van - GV1012	AVNN - GVNN01	Ly - GV1034	Tin - GV1069	Sinh - GV1046	Anh - GV1029	Anh - GV1027	Anh - GV1024	Tin - GV1071	AVNN - GVNN03	Ly - GV1033	Sinh - GV1045	Sinh - GV1047	CN - GV1073	Van - GV1020	Hoa - GV1044	QP - GV1066	Anh - GV1031	Anh - GV1030	Ly - GV1037	Van - GV1021	Ly - GV1035	Hoa - GV1042	AVNN - GVNN02	
